system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
47 UMa,90.0,1.0,0,False,91210.86473015431,close_encounter
47 UMa,90.0,1.0,1,True,295140.32957573293,survived
47 UMa,90.0,1.0,2,True,295140.34674761543,survived
47 UMa,90.0,1.0,3,False,17.49833653476663,close_encounter
47 UMa,90.0,1.0,4,False,2244.4332158780053,close_encounter
47 UMa,70.0,1.0641777724759123,0,True,295140.4258331796,survived
47 UMa,70.0,1.0641777724759123,1,True,295140.3603059029,survived
47 UMa,70.0,1.0641777724759123,2,True,295140.3692413988,survived
47 UMa,70.0,1.0641777724759123,3,True,295140.4028745522,survived
47 UMa,70.0,1.0641777724759123,4,True,295140.33083008364,survived
47 UMa,55.0,1.220774588761456,0,True,295140.396857433,survived
47 UMa,55.0,1.220774588761456,1,True,295140.3656150666,survived
47 UMa,55.0,1.220774588761456,2,False,98295.27360030486,close_encounter
47 UMa,55.0,1.220774588761456,3,True,295140.4513487441,survived
47 UMa,55.0,1.220774588761456,4,True,295140.3382898389,survived
47 UMa,40.0,1.5557238268604126,0,False,2961.658650731459,close_encounter
47 UMa,40.0,1.5557238268604126,1,True,295140.4276770292,survived
47 UMa,40.0,1.5557238268604126,2,False,6832.583742992181,close_encounter
47 UMa,40.0,1.5557238268604126,3,True,295140.3299544837,survived
47 UMa,40.0,1.5557238268604126,4,True,295140.3622477234,survived
47 UMa,30.0,2.0000000000000004,0,False,1608.3080049108282,close_encounter
47 UMa,30.0,2.0000000000000004,1,True,295140.378021673,survived
47 UMa,30.0,2.0000000000000004,2,False,139680.437065242,close_encounter
47 UMa,30.0,2.0000000000000004,3,True,295140.37926692667,survived
47 UMa,30.0,2.0000000000000004,4,False,12910.91577530711,close_encounter
47 UMa,22.0,2.6694671625540143,0,True,295140.415339302,survived
47 UMa,22.0,2.6694671625540143,1,True,295140.430009699,survived
47 UMa,22.0,2.6694671625540143,2,False,1621.6494983712255,close_encounter
47 UMa,22.0,2.6694671625540143,3,False,1804.24404114761,close_encounter
47 UMa,22.0,2.6694671625540143,4,False,958.2970922593257,close_encounter
47 UMa,16.0,3.6279552785433005,0,False,1823.326882673495,close_encounter
47 UMa,16.0,3.6279552785433005,1,True,295140.42521254346,survived
47 UMa,16.0,3.6279552785433005,2,True,295140.3229015526,survived
47 UMa,16.0,3.6279552785433005,3,False,144.92067478266404,close_encounter
47 UMa,16.0,3.6279552785433005,4,False,554.6035086444166,close_encounter
47 UMa,12.0,4.809734344744131,0,False,140.64676733068035,close_encounter
47 UMa,12.0,4.809734344744131,1,False,491.6153683250177,close_encounter
47 UMa,12.0,4.809734344744131,2,False,15336.908918526933,close_encounter
47 UMa,12.0,4.809734344744131,3,True,295140.3621419984,survived
47 UMa,12.0,4.809734344744131,4,False,53.79240895298279,close_encounter
47 UMa,9.0,6.392453221499662,0,False,573.7916382563424,escape
47 UMa,9.0,6.392453221499662,1,False,3431.261569994286,close_encounter
47 UMa,9.0,6.392453221499662,2,False,80.94034085253588,close_encounter
47 UMa,9.0,6.392453221499662,3,False,9309.28228337357,close_encounter
47 UMa,9.0,6.392453221499662,4,False,268.771899384768,close_encounter
47 UMa,7.0,8.205509048125078,0,False,808.6990823496459,close_encounter
47 UMa,7.0,8.205509048125078,1,False,64.79112745521502,close_encounter
47 UMa,7.0,8.205509048125078,2,False,114.21132862796146,close_encounter
47 UMa,7.0,8.205509048125078,3,False,5207.190255539872,close_encounter
47 UMa,7.0,8.205509048125078,4,False,160.9604800143956,close_encounter
47 UMa,5.0,11.473713245669856,0,False,1.6636559111751021,close_encounter
47 UMa,5.0,11.473713245669856,1,False,39.01798957400211,close_encounter
47 UMa,5.0,11.473713245669856,2,False,203.677223800374,close_encounter
47 UMa,5.0,11.473713245669856,3,False,598.9979155791845,close_encounter
47 UMa,5.0,11.473713245669856,4,False,249.0995865778321,close_encounter
